category,sample_id,completeness,has_front,has_back,has_pattern_png,has_pattern_svg,has_sim_obj,has_scan_obj,has_sim_seg,has_scan_seg,has_spec,panel_count,pattern_edge_count,stitch_count,svg_path_count,sim_vertices,sim_faces,sim_lines,scan_vertices,scan_faces,scan_lines
dress_sleeveless_2550,dress_sleeveless_000YCTJ9HS,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,8690,17051,0,8664,16575,0
dress_sleeveless_2550,dress_sleeveless_02785H9ILO,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,9674,19134,0,9674,19109,0
dress_sleeveless_2550,dress_sleeveless_02SNUB424B,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,10678,21063,0,10524,19899,0
dress_sleeveless_2550,dress_sleeveless_038TR0ANFK,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,5886,11525,0,5886,11496,0
dress_sleeveless_2550,dress_sleeveless_03ATARTQ2Z,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,12840,25336,0,12726,23403,0
dress_sleeveless_2550,dress_sleeveless_03NR4RD224,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,8940,17591,0,8940,17447,0
dress_sleeveless_2550,dress_sleeveless_04I8B5BYZY,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,8875,17395,0,8737,16591,0
dress_sleeveless_2550,dress_sleeveless_063X1Q91RU,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,6632,13073,0,6632,13066,0
dress_sleeveless_2550,dress_sleeveless_06W50EVGWM,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,12583,24904,0,12582,24507,0
dress_sleeveless_2550,dress_sleeveless_07BY4259P4,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,7297,14308,0,7297,14266,0
dress_sleeveless_2550,dress_sleeveless_07EI1P4COY,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,4872,9511,0,4872,9511,0
dress_sleeveless_2550,dress_sleeveless_07M3X588N8,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,10435,20594,0,10435,20485,0
dress_sleeveless_2550,dress_sleeveless_08NR549MD5,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,12376,24454,0,12375,23640,0
dress_sleeveless_2550,dress_sleeveless_09I4MSDW2N,100.0,1,1,1,1,1,1,1,1,1,4,29,10,4,10609,20870,0,10600,20303,0
