category,sample_id,completeness,has_front,has_back,has_pattern_png,has_pattern_svg,has_sim_obj,has_scan_obj,has_sim_seg,has_scan_seg,has_spec,panel_count,pattern_edge_count,stitch_count,svg_path_count,sim_vertices,sim_faces,sim_lines,scan_vertices,scan_faces,scan_lines
pants_straight_sides_1000,pants_straight_sides_02LK7BEVSJ,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,9670,19182,0,9217,17327,0
pants_straight_sides_1000,pants_straight_sides_02UKVRO08W,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,7461,14796,0,7382,14210,0
pants_straight_sides_1000,pants_straight_sides_045WSSJ15W,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,8907,17644,0,8245,15389,0
pants_straight_sides_1000,pants_straight_sides_04B8EQNPWM,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,4717,9292,0,4640,8884,0
pants_straight_sides_1000,pants_straight_sides_07KDJIW25J,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,3734,7310,0,3605,6817,0
pants_straight_sides_1000,pants_straight_sides_0A0YA5V0JM,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,10367,20560,0,9724,18265,0
pants_straight_sides_1000,pants_straight_sides_0BKEIFTY5O,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,7280,14430,0,7205,13809,0
pants_straight_sides_1000,pants_straight_sides_0C35CI89LF,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,8855,17564,0,8749,16490,0
pants_straight_sides_1000,pants_straight_sides_0D9GJAC8KC,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,5618,11090,0,5533,10383,0
pants_straight_sides_1000,pants_straight_sides_0DG84T2ZOB,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,5270,10434,0,5213,10067,0
pants_straight_sides_1000,pants_straight_sides_0E2KZOLK7Z,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,8661,17180,0,8530,16050,0
pants_straight_sides_1000,pants_straight_sides_0EB7T905KO,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,9959,19748,0,9356,17639,0
pants_straight_sides_1000,pants_straight_sides_0F3DQ64CDQ,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,4278,8410,0,4185,7916,0
pants_straight_sides_1000,pants_straight_sides_0G436M60BE,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,3485,6868,0,3459,6645,0
pants_straight_sides_1000,pants_straight_sides_0I5S7VKFE1,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,2248,4374,0,2208,4171,0
pants_straight_sides_1000,pants_straight_sides_0IJX4J5VV2,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,2773,5428,0,2717,4809,0
pants_straight_sides_1000,pants_straight_sides_0KGJZX5PFS,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,5947,11792,0,5905,11450,0
pants_straight_sides_1000,pants_straight_sides_0KVM5FSEM1,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,9135,18084,0,8409,15861,0
pants_straight_sides_1000,pants_straight_sides_0KZ6BOLZDF,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,9135,18092,0,8686,16374,0
pants_straight_sides_1000,pants_straight_sides_0LKPUSE5GI,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,5982,11846,0,5917,11424,0
pants_straight_sides_1000,pants_straight_sides_0P5KTBTB4T,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,10291,20408,0,9737,18347,0
pants_straight_sides_1000,pants_straight_sides_0QOBN7R87J,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,4788,9458,0,4730,9110,0
pants_straight_sides_1000,pants_straight_sides_0RQA546MDR,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,3220,6298,0,3155,5968,0
pants_straight_sides_1000,pants_straight_sides_0TCJMYPC5C,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,2502,4878,0,2455,4640,0
pants_straight_sides_1000,pants_straight_sides_0WPBB65K60,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,6050,11950,0,5957,11166,0
pants_straight_sides_1000,pants_straight_sides_0X5KEPKM7W,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,6540,12962,0,6466,12488,0
pants_straight_sides_1000,pants_straight_sides_0Y3D07ORH8,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,6728,13310,0,6532,12184,0
pants_straight_sides_1000,pants_straight_sides_0ZMQKEKCQP,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,7175,14220,0,7106,13643,0
pants_straight_sides_1000,pants_straight_sides_12EV1JPX6R,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,7579,15032,0,7500,14392,0
pants_straight_sides_1000,pants_straight_sides_19C7UATBVG,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,5242,10370,0,5175,10007,0
pants_straight_sides_1000,pants_straight_sides_19J92Q0LLV,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,4893,9676,0,4850,9323,0
pants_straight_sides_1000,pants_straight_sides_1B99V8WI84,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,5446,10770,0,5381,10348,0
pants_straight_sides_1000,pants_straight_sides_1CH4MK9IDO,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,2587,5072,0,2560,4837,0
pants_straight_sides_1000,pants_straight_sides_1E804A2S5F,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,2812,5510,0,2779,5295,0
pants_straight_sides_1000,pants_straight_sides_1EFFELKNSY,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,4037,7928,0,3964,7531,0
pants_straight_sides_1000,pants_straight_sides_1EYPJYYJOC,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,4719,9272,0,4600,8726,0
pants_straight_sides_1000,pants_straight_sides_1FRPWWFWOZ,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,7360,14550,0,7107,13353,0
pants_straight_sides_1000,pants_straight_sides_1GAZNVBOC8,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,6528,12886,0,6268,11837,0
pants_straight_sides_1000,pants_straight_sides_1IECWUM10N,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,6270,12430,0,6246,11924,0
pants_straight_sides_1000,pants_straight_sides_1KVSB0V2SM,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,3351,6540,0,3251,6116,0
pants_straight_sides_1000,pants_straight_sides_1LGA89DDQF,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,6640,13118,0,6455,12212,0
pants_straight_sides_1000,pants_straight_sides_1OD4OAIGRL,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,8250,16342,0,7978,15089,0
pants_straight_sides_1000,pants_straight_sides_1OP4X4R9V0,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,5546,10954,0,5473,10467,0
pants_straight_sides_1000,pants_straight_sides_1OUB0FYNHI,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,5133,10132,0,5061,9681,0
pants_straight_sides_1000,pants_straight_sides_1Q02BIICOB,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,6375,12636,0,6357,12172,0
pants_straight_sides_1000,pants_straight_sides_1QO8383QXZ,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,9630,19078,0,9134,17198,0
pants_straight_sides_1000,pants_straight_sides_1SPYWOS3A7,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,9338,18514,0,8941,16956,0
pants_straight_sides_1000,pants_straight_sides_1TODDN14YM,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,6868,13614,0,6801,13143,0
pants_straight_sides_1000,pants_straight_sides_1UDWAMYZ38,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,4765,9392,0,4689,8914,0
pants_straight_sides_1000,pants_straight_sides_1VR4WZRNXN,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,3475,6828,0,3419,6546,0
pants_straight_sides_1000,pants_straight_sides_1Z5284L3WD,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,5093,10060,0,5024,9692,0
pants_straight_sides_1000,pants_straight_sides_1Z6H7H8R86,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,5270,10354,0,5124,9642,0
pants_straight_sides_1000,pants_straight_sides_1ZCHXV3ST3,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,4377,8592,0,4248,8033,0
pants_straight_sides_1000,pants_straight_sides_1ZU275P9YV,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,6645,13180,0,6582,12481,0
pants_straight_sides_1000,pants_straight_sides_24R0OPNX1A,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,4447,8760,0,4391,8393,0
pants_straight_sides_1000,pants_straight_sides_2AKYGSEIBV,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,5555,10976,0,5467,10343,0
pants_straight_sides_1000,pants_straight_sides_2BMZHS3P5A,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,6959,13732,0,6572,12267,0
pants_straight_sides_1000,pants_straight_sides_2CIE06N7HU,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,3449,6744,0,3363,6365,0
pants_straight_sides_1000,pants_straight_sides_2DZ574SV2I,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,8276,16402,0,8073,15202,0
pants_straight_sides_1000,pants_straight_sides_2KERMK5ASX,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,6710,13318,0,6658,12901,0
pants_straight_sides_1000,pants_straight_sides_2LUUTI2VEJ,100.0,1,1,1,1,1,1,1,1,1,4,20,6,4,9644,19098,0,8766,16468,0
