category,sample_id,completeness,has_front,has_back,has_pattern_png,has_pattern_svg,has_sim_obj,has_scan_obj,has_sim_seg,has_scan_seg,has_spec,panel_count,pattern_edge_count,stitch_count,svg_path_count,sim_vertices,sim_faces,sim_lines,scan_vertices,scan_faces,scan_lines
skirt_4_panels_1600,skirt_4_panels_00Z2QEDD2M,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,9141,18038,0,9141,17746,0
skirt_4_panels_1600,skirt_4_panels_02P1D5F847,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,9756,19274,0,9756,18811,0
skirt_4_panels_1600,skirt_4_panels_05HZN4FJUQ,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,3888,7604,0,3888,7604,0
skirt_4_panels_1600,skirt_4_panels_05I6UYSUKO,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,5927,11669,0,5927,11655,0
skirt_4_panels_1600,skirt_4_panels_06849RFWEV,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,4655,9080,0,4655,8974,0
skirt_4_panels_1600,skirt_4_panels_06CIUI0Z1O,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,5517,10745,0,4974,9108,0
skirt_4_panels_1600,skirt_4_panels_07C3CBQE2D,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,7515,14829,0,7515,14763,0
skirt_4_panels_1600,skirt_4_panels_07ZETVPNC4,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,7040,13895,0,7040,13879,0
skirt_4_panels_1600,skirt_4_panels_09LIX06Z72,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,9603,18864,0,8448,15440,0
skirt_4_panels_1600,skirt_4_panels_0AA7EMGOOR,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,8017,15757,0,8015,15244,0
skirt_4_panels_1600,skirt_4_panels_0BOVUHY8UZ,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,5515,10821,0,5515,10782,0
skirt_4_panels_1600,skirt_4_panels_0C8TASWP2J,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,9438,18601,0,9433,17645,0
skirt_4_panels_1600,skirt_4_panels_0EUH6GOWOS,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,8314,16351,0,8256,15350,0
skirt_4_panels_1600,skirt_4_panels_0F8XI8AF1N,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,11775,23221,0,10647,18899,0
skirt_4_panels_1600,skirt_4_panels_0G9RQJR30J,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,7298,14263,0,7163,13538,0
skirt_4_panels_1600,skirt_4_panels_0HXOFKQCU4,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,7392,14576,0,7392,14516,0
skirt_4_panels_1600,skirt_4_panels_0IV0KWOW7T,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,12107,23897,0,12024,21350,0
skirt_4_panels_1600,skirt_4_panels_0IWY6YL59K,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,8896,17491,0,8896,16867,0
skirt_4_panels_1600,skirt_4_panels_0LSNA0BPAF,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,5094,9866,0,5009,9294,0
skirt_4_panels_1600,skirt_4_panels_0MBCKYDZS1,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,4922,9580,0,4922,9488,0
skirt_4_panels_1600,skirt_4_panels_0MGPZTQKNF,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,6609,13003,0,6609,12937,0
skirt_4_panels_1600,skirt_4_panels_0MHP2OOTPK,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,6010,11788,0,6010,11632,0
skirt_4_panels_1600,skirt_4_panels_0N01WVQCQU,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,6310,12362,0,6302,11980,0
skirt_4_panels_1600,skirt_4_panels_0NBHIN7VDU,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,7628,15015,0,7628,14724,0
skirt_4_panels_1600,skirt_4_panels_0P9H49LBER,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,6247,12179,0,6028,11092,0
skirt_4_panels_1600,skirt_4_panels_0PT3MA2LD2,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,4004,7838,0,4004,7834,0
skirt_4_panels_1600,skirt_4_panels_0QSIO3R300,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,15449,30525,0,12599,21759,0
skirt_4_panels_1600,skirt_4_panels_0SXZBHH9UR,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,4063,7978,0,4063,7976,0
skirt_4_panels_1600,skirt_4_panels_0TF0U4EU3S,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,4556,8949,0,4556,8947,0
skirt_4_panels_1600,skirt_4_panels_0TLICDJMI2,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,6330,12410,0,6294,11906,0
skirt_4_panels_1600,skirt_4_panels_0UHNE7RFR1,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,6335,12399,0,6329,12004,0
skirt_4_panels_1600,skirt_4_panels_0V5J5ABQID,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,5735,11237,0,5735,11028,0
skirt_4_panels_1600,skirt_4_panels_0VKH3CA1GJ,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,7626,15033,0,7626,14930,0
skirt_4_panels_1600,skirt_4_panels_0VYWD5ODWE,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,12083,23873,0,12069,22121,0
skirt_4_panels_1600,skirt_4_panels_0W0HSL62PK,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,6379,12518,0,6379,12246,0
skirt_4_panels_1600,skirt_4_panels_0WNVGIYL5W,100.0,1,1,1,1,1,1,1,1,1,4,24,8,4,5206,10212,0,5206,10196,0
