category,sample_id,completeness,has_front,has_back,has_pattern_png,has_pattern_svg,has_sim_obj,has_scan_obj,has_sim_seg,has_scan_seg,has_spec,panel_count,pattern_edge_count,stitch_count,svg_path_count,sim_vertices,sim_faces,sim_lines,scan_vertices,scan_faces,scan_lines
tee_sleeveless_1800,tee_sleeveless_0029TFA1QK,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,7397,14350,0,7348,13643,0
tee_sleeveless_1800,tee_sleeveless_00G6WNXZTT,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,18494,36578,0,18476,35575,0
tee_sleeveless_1800,tee_sleeveless_01CNPFWRD9,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,7116,13921,0,7116,13921,0
tee_sleeveless_1800,tee_sleeveless_04SIESG9V1,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,5882,11486,0,5882,11449,0
tee_sleeveless_1800,tee_sleeveless_04WIGG8VTK,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,12091,23843,0,12091,23737,0
tee_sleeveless_1800,tee_sleeveless_05KWK8YJOZ,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,14104,27950,0,14103,27846,0
tee_sleeveless_1800,tee_sleeveless_063YRVYDX4,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,10155,20010,0,10155,19998,0
tee_sleeveless_1800,tee_sleeveless_06ATZV42XY,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,7714,15148,0,7714,15116,0
tee_sleeveless_1800,tee_sleeveless_06JHQ4FSRC,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,6566,12830,0,5866,9834,0
tee_sleeveless_1800,tee_sleeveless_072U5NLI68,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,3701,7046,0,3682,6917,0
tee_sleeveless_1800,tee_sleeveless_07JXG87PG6,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,17296,34216,0,17290,33010,0
tee_sleeveless_1800,tee_sleeveless_07O1317FE6,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,9621,18837,0,9621,18762,0
tee_sleeveless_1800,tee_sleeveless_08XO6JC1PN,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,13932,27410,0,12557,24059,0
tee_sleeveless_1800,tee_sleeveless_09NSVH5DDQ,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,25317,50196,0,24799,46242,0
tee_sleeveless_1800,tee_sleeveless_0AUBZZ2VIC,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,7412,14417,0,7412,14369,0
tee_sleeveless_1800,tee_sleeveless_0AX59UL02P,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,17984,35661,0,17984,35197,0
tee_sleeveless_1800,tee_sleeveless_0C0OYTILWD,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,9710,19172,0,9710,19153,0
tee_sleeveless_1800,tee_sleeveless_0C2JTMTSIK,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,4449,8604,0,4449,8602,0
tee_sleeveless_1800,tee_sleeveless_0CEUAIQAMQ,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,11337,22367,0,11337,22125,0
tee_sleeveless_1800,tee_sleeveless_0DXCN79BBL,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,16422,32466,0,16422,32364,0
tee_sleeveless_1800,tee_sleeveless_0FCR1XQTW3,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,11410,22502,0,11055,20666,0
tee_sleeveless_1800,tee_sleeveless_0FN1STJNRV,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,14734,29078,0,14734,29072,0
tee_sleeveless_1800,tee_sleeveless_0FOBE3RQ53,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,10155,20106,0,10155,20100,0
tee_sleeveless_1800,tee_sleeveless_0GOXY939PZ,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,15079,29809,0,15079,29806,0
tee_sleeveless_1800,tee_sleeveless_0HHGSFHY3C,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,15118,29872,0,15117,29233,0
tee_sleeveless_1800,tee_sleeveless_0HUQT5JQLY,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,10139,19832,0,9366,17819,0
tee_sleeveless_1800,tee_sleeveless_0IT2HC3EK9,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,13033,25808,0,13033,25773,0
tee_sleeveless_1800,tee_sleeveless_0JMLQKMGNA,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,23518,46579,0,23413,43876,0
tee_sleeveless_1800,tee_sleeveless_0KE31TUQ4P,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,12975,25518,0,12975,25304,0
tee_sleeveless_1800,tee_sleeveless_0LRA15P8K0,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,8469,16535,0,8469,16486,0
tee_sleeveless_1800,tee_sleeveless_0MAS9022UQ,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,22560,44657,0,22520,41617,0
tee_sleeveless_1800,tee_sleeveless_0QE7PSZE31,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,9364,18410,0,9364,18408,0
tee_sleeveless_1800,tee_sleeveless_0RBGJ31EKD,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,6719,13041,0,6719,13021,0
tee_sleeveless_1800,tee_sleeveless_0RBZ5B5YYF,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,5381,10300,0,5378,10164,0
tee_sleeveless_1800,tee_sleeveless_0RJ6GJA100,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,9318,18294,0,9318,18199,0
tee_sleeveless_1800,tee_sleeveless_0RQTBZ0OOD,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,10106,19877,0,10106,19876,0
tee_sleeveless_1800,tee_sleeveless_0RWN5VRTUA,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,22799,45094,0,22654,41896,0
tee_sleeveless_1800,tee_sleeveless_0UABZ3EL88,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,5171,9984,0,5149,9723,0
tee_sleeveless_1800,tee_sleeveless_0UKZLCFURS,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,8909,17438,0,8297,15410,0
tee_sleeveless_1800,tee_sleeveless_0VS8WKNP7Q,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,9830,19329,0,9830,19325,0
tee_sleeveless_1800,tee_sleeveless_0VXWZHEXVJ,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,26388,52316,0,26292,47568,0
tee_sleeveless_1800,tee_sleeveless_0W4VLN81TD,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,21586,42816,0,21477,39997,0
tee_sleeveless_1800,tee_sleeveless_0X9I7H82UH,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,13320,26275,0,13319,25967,0
tee_sleeveless_1800,tee_sleeveless_0XUFASLJLF,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,14601,28868,0,14601,28853,0
tee_sleeveless_1800,tee_sleeveless_0YCPEWPAPU,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,20804,41149,0,20644,38800,0
tee_sleeveless_1800,tee_sleeveless_0Z3SQLBTJJ,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,28511,56599,0,28497,53496,0
tee_sleeveless_1800,tee_sleeveless_0ZCBP2EOZ0,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,12710,25089,0,12710,25081,0
tee_sleeveless_1800,tee_sleeveless_0ZP2B3TYGX,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,10798,21121,0,9933,18803,0
tee_sleeveless_1800,tee_sleeveless_104TDHEYUK,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,13444,26620,0,13444,26599,0
tee_sleeveless_1800,tee_sleeveless_10I599TK6K,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,29320,58137,0,28394,50461,0
tee_sleeveless_1800,tee_sleeveless_11XKPR8MAU,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,6483,12496,0,6188,11443,0
tee_sleeveless_1800,tee_sleeveless_12GEA3MN14,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,20721,41069,0,20713,39925,0
tee_sleeveless_1800,tee_sleeveless_12I8AMHZ1W,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,10335,20400,0,10335,20385,0
tee_sleeveless_1800,tee_sleeveless_13PGFFTM82,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,17335,34402,0,17330,33461,0
tee_sleeveless_1800,tee_sleeveless_14RW1FV5Y2,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,11784,23179,0,11781,22615,0
tee_sleeveless_1800,tee_sleeveless_15E91G9K8E,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,12217,24169,0,12217,24149,0
tee_sleeveless_1800,tee_sleeveless_15JGVO9O1S,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,23267,46025,0,23252,43553,0
tee_sleeveless_1800,tee_sleeveless_15UZ8YHGDE,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,13729,27191,0,13726,27093,0
tee_sleeveless_1800,tee_sleeveless_164HE1E920,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,9904,19468,0,9904,19454,0
tee_sleeveless_1800,tee_sleeveless_17AML3HBFK,100.0,1,1,1,1,1,1,1,1,1,2,17,4,2,6614,12947,0,6614,12920,0
