category,sample_id,completeness,has_front,has_back,has_pattern_png,has_pattern_svg,has_sim_obj,has_scan_obj,has_sim_seg,has_scan_seg,has_spec,panel_count,pattern_edge_count,stitch_count,svg_path_count,sim_vertices,sim_faces,sim_lines,scan_vertices,scan_faces,scan_lines
wb_pants_straight_1500,wb_pants_straight_01BRV8KIR3,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,15007,29812,0,14505,26779,0
wb_pants_straight_1500,wb_pants_straight_01E7QBJBFO,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,14800,29430,0,14548,26746,0
wb_pants_straight_1500,wb_pants_straight_01PA66TRDF,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,17210,34218,0,16335,29966,0
wb_pants_straight_1500,wb_pants_straight_038BS65UPG,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,11334,22470,0,11036,20951,0
wb_pants_straight_1500,wb_pants_straight_03SBNQSKB9,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,15359,30492,0,14945,27643,0
wb_pants_straight_1500,wb_pants_straight_04GA38XZBL,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,13427,26600,0,12865,23449,0
wb_pants_straight_1500,wb_pants_straight_04KDS37VGZ,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,14934,29626,0,14656,26747,0
wb_pants_straight_1500,wb_pants_straight_055UVAJJSF,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,14423,28604,0,14089,26451,0
wb_pants_straight_1500,wb_pants_straight_0577Q8K3YE,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,21419,42596,0,21194,38874,0
wb_pants_straight_1500,wb_pants_straight_05BOFVIKWJ,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,14998,29734,0,14456,25968,0
wb_pants_straight_1500,wb_pants_straight_06YS63604L,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,7132,14126,0,7038,13589,0
wb_pants_straight_1500,wb_pants_straight_0741G2QP0Q,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,6195,12276,0,6109,11764,0
wb_pants_straight_1500,wb_pants_straight_07CM168FI3,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,20174,40134,0,19735,36101,0
wb_pants_straight_1500,wb_pants_straight_07JEQPP964,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,18008,35854,0,17752,33126,0
wb_pants_straight_1500,wb_pants_straight_07K75MKOTT,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,21481,42728,0,21004,37414,0
wb_pants_straight_1500,wb_pants_straight_08AP5K7DYV,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,12582,24970,0,12311,22864,0
wb_pants_straight_1500,wb_pants_straight_09Q6WTX5N1,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,10919,21684,0,10468,19548,0
wb_pants_straight_1500,wb_pants_straight_0AC695AY1D,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,14635,29012,0,14035,25120,0
wb_pants_straight_1500,wb_pants_straight_0AF8G19IOX,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,10789,21368,0,10419,19776,0
wb_pants_straight_1500,wb_pants_straight_0C3JNZ3HD8,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,17379,34572,0,17139,31305,0
wb_pants_straight_1500,wb_pants_straight_0CH0NKXGCR,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,12334,24434,0,12099,22611,0
wb_pants_straight_1500,wb_pants_straight_0DTJWN0IS3,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,23812,47354,0,23428,41994,0
wb_pants_straight_1500,wb_pants_straight_0EJP55BZZU,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,8098,16042,0,7902,15006,0
wb_pants_straight_1500,wb_pants_straight_0GBODDDV6C,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,18957,37716,0,18125,32584,0
wb_pants_straight_1500,wb_pants_straight_0HA35LX5WA,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,12128,24066,0,11773,22288,0
wb_pants_straight_1500,wb_pants_straight_0L2W00IE8Y,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,19371,38540,0,18580,32607,0
wb_pants_straight_1500,wb_pants_straight_0MVSW8Z887,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,12443,24752,0,12232,23467,0
wb_pants_straight_1500,wb_pants_straight_0NKF20TT7D,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,11485,22732,0,11112,20932,0
wb_pants_straight_1500,wb_pants_straight_0NNI1FU6RR,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,12956,25778,0,12697,24151,0
wb_pants_straight_1500,wb_pants_straight_0O0H8LLLHR,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,13945,27768,0,13718,26426,0
wb_pants_straight_1500,wb_pants_straight_0RE4KK3LFC,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,10355,20480,0,9998,19060,0
wb_pants_straight_1500,wb_pants_straight_0S1LYP8GII,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,13980,27830,0,13758,26493,0
wb_pants_straight_1500,wb_pants_straight_0S4W5LUDKO,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,15592,30942,0,15186,27659,0
wb_pants_straight_1500,wb_pants_straight_0TYTAC7Y7Z,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,18179,36160,0,17940,33847,0
wb_pants_straight_1500,wb_pants_straight_0U8LVR22PV,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,13719,27264,0,13483,25393,0
wb_pants_straight_1500,wb_pants_straight_0VC5SN8K5A,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,9695,19240,0,9485,18003,0
wb_pants_straight_1500,wb_pants_straight_0W210RNZEZ,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,12906,25658,0,12657,23727,0
wb_pants_straight_1500,wb_pants_straight_0XS73SEKP3,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,15570,30894,0,15141,27774,0
wb_pants_straight_1500,wb_pants_straight_0XTJAHBXX8,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,11290,22358,0,11030,20927,0
wb_pants_straight_1500,wb_pants_straight_0XU5MAH93Q,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,9959,19720,0,9590,17719,0
wb_pants_straight_1500,wb_pants_straight_0YEXTS809A,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,20574,40938,0,20148,36810,0
wb_pants_straight_1500,wb_pants_straight_0YU4RSDB9U,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,12859,25484,0,12357,23390,0
wb_pants_straight_1500,wb_pants_straight_101G29ED8S,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,7505,14852,0,7365,14098,0
wb_pants_straight_1500,wb_pants_straight_102HTDOLNZ,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,7339,14536,0,7221,13913,0
wb_pants_straight_1500,wb_pants_straight_10G8M4TJCK,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,17018,33766,0,16399,28570,0
wb_pants_straight_1500,wb_pants_straight_10R2WQFC03,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,15713,31260,0,15478,28779,0
wb_pants_straight_1500,wb_pants_straight_10YJU6QYJS,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,20751,41240,0,20435,36506,0
wb_pants_straight_1500,wb_pants_straight_12C52646XE,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,6771,13420,0,6738,13043,0
wb_pants_straight_1500,wb_pants_straight_12R3GM1GYT,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,18882,37538,0,18424,33403,0
wb_pants_straight_1500,wb_pants_straight_12TOVPFVBZ,100.0,1,1,1,1,1,1,1,1,1,6,30,12,6,11703,23276,0,11576,22394,0
