feature_set,true_category,pred_category,count
mesh,dress_sleeveless_2550,dress_sleeveless_2550,358
mesh,dress_sleeveless_2550,jumpsuit_sleeveless_2000,12
mesh,dress_sleeveless_2550,skirt_2_panels_1200,5
mesh,dress_sleeveless_2550,skirt_4_panels_1600,7
mesh,dress_sleeveless_2550,skirt_8_panels_1000,1
mesh,jacket_2200,jacket_2200,165
mesh,jacket_2200,jacket_hood_2700,112
mesh,jacket_2200,tee_2300,31
mesh,jacket_2200,tee_sleeveless_1800,20
mesh,jacket_2200,wb_dress_sleeveless_2600,2
mesh,jacket_hood_2700,jacket_2200,129
mesh,jacket_hood_2700,jacket_hood_2700,207
mesh,jacket_hood_2700,tee_2300,51
mesh,jacket_hood_2700,tee_sleeveless_1800,18
mesh,jumpsuit_sleeveless_2000,dress_sleeveless_2550,14
mesh,jumpsuit_sleeveless_2000,jumpsuit_sleeveless_2000,281
mesh,jumpsuit_sleeveless_2000,pants_straight_sides_1000,1
mesh,jumpsuit_sleeveless_2000,skirt_2_panels_1200,2
mesh,jumpsuit_sleeveless_2000,skirt_4_panels_1600,2
mesh,pants_straight_sides_1000,pants_straight_sides_1000,150
mesh,skirt_2_panels_1200,dress_sleeveless_2550,4
mesh,skirt_2_panels_1200,jumpsuit_sleeveless_2000,1
mesh,skirt_2_panels_1200,skirt_2_panels_1200,156
mesh,skirt_2_panels_1200,skirt_4_panels_1600,5
mesh,skirt_2_panels_1200,skirt_8_panels_1000,14
mesh,skirt_4_panels_1600,dress_sleeveless_2550,11
mesh,skirt_4_panels_1600,skirt_2_panels_1200,5
mesh,skirt_4_panels_1600,skirt_4_panels_1600,209
mesh,skirt_4_panels_1600,skirt_8_panels_1000,15
mesh,skirt_8_panels_1000,dress_sleeveless_2550,3
mesh,skirt_8_panels_1000,jumpsuit_sleeveless_2000,2
mesh,skirt_8_panels_1000,skirt_2_panels_1200,9
mesh,skirt_8_panels_1000,skirt_4_panels_1600,16
mesh,skirt_8_panels_1000,skirt_8_panels_1000,120
mesh,tee_2300,jacket_2200,29
mesh,tee_2300,jacket_hood_2700,47
mesh,tee_2300,tee_2300,203
mesh,tee_2300,tee_sleeveless_1800,56
mesh,tee_2300,wb_dress_sleeveless_2600,9
mesh,tee_2300,wb_pants_straight_1500,1
mesh,tee_sleeveless_1800,jacket_2200,22
mesh,tee_sleeveless_1800,jacket_hood_2700,23
mesh,tee_sleeveless_1800,tee_2300,60
mesh,tee_sleeveless_1800,tee_sleeveless_1800,161
mesh,tee_sleeveless_1800,wb_dress_sleeveless_2600,4
mesh,wb_dress_sleeveless_2600,tee_2300,6
mesh,wb_dress_sleeveless_2600,tee_sleeveless_1800,8
mesh,wb_dress_sleeveless_2600,wb_dress_sleeveless_2600,371
mesh,wb_dress_sleeveless_2600,wb_pants_straight_1500,5
mesh,wb_pants_straight_1500,wb_dress_sleeveless_2600,2
mesh,wb_pants_straight_1500,wb_pants_straight_1500,223
