category,sample_id,split
dress_sleeveless_2550,dress_sleeveless_GLS2RLNTIP,train
dress_sleeveless_2550,dress_sleeveless_HLXXLMTKBY,train
dress_sleeveless_2550,dress_sleeveless_3Q78ZUYN2S,train
dress_sleeveless_2550,dress_sleeveless_ZN4T2C2CFG,train
dress_sleeveless_2550,dress_sleeveless_W68F2SDW9Q,train
dress_sleeveless_2550,dress_sleeveless_K6XIVX4X87,train
dress_sleeveless_2550,dress_sleeveless_SCQ405CYUI,train
dress_sleeveless_2550,dress_sleeveless_7JQO60HFFG,train
dress_sleeveless_2550,dress_sleeveless_300SM9A9KR,train
dress_sleeveless_2550,dress_sleeveless_3JF9CYEI31,train
dress_sleeveless_2550,dress_sleeveless_EN17A7Z5PZ,train
dress_sleeveless_2550,dress_sleeveless_5F1I6R33PN,train
dress_sleeveless_2550,dress_sleeveless_CBYQ8VCA25,train
dress_sleeveless_2550,dress_sleeveless_QTK56SK93T,train
dress_sleeveless_2550,dress_sleeveless_SCNFM957OU,train
dress_sleeveless_2550,dress_sleeveless_XBPO10HD8U,train
dress_sleeveless_2550,dress_sleeveless_B6MK63X7VR,train
dress_sleeveless_2550,dress_sleeveless_PTLT0L2C66,train
dress_sleeveless_2550,dress_sleeveless_MKFFBVVE7I,train
dress_sleeveless_2550,dress_sleeveless_D4ZOVKJUGT,train
dress_sleeveless_2550,dress_sleeveless_FAUH9GWGIN,train
dress_sleeveless_2550,dress_sleeveless_L7I6H2IBHW,train
dress_sleeveless_2550,dress_sleeveless_8HB3GOVGNF,train
dress_sleeveless_2550,dress_sleeveless_Y34QCP4J1H,train
dress_sleeveless_2550,dress_sleeveless_OAA0ZY1XQM,train
dress_sleeveless_2550,dress_sleeveless_VMOCRKBNDR,train
dress_sleeveless_2550,dress_sleeveless_1KOIU0NJDH,train
dress_sleeveless_2550,dress_sleeveless_YY8I0LR4H8,train
dress_sleeveless_2550,dress_sleeveless_IMC6IC2S6C,train
dress_sleeveless_2550,dress_sleeveless_UPMJJT8WIQ,train
dress_sleeveless_2550,dress_sleeveless_JDYYADWR0K,train
dress_sleeveless_2550,dress_sleeveless_8T5FZZWZP7,train
dress_sleeveless_2550,dress_sleeveless_EM4F7E9A2E,train
dress_sleeveless_2550,dress_sleeveless_CAQ4HUEEP3,train
dress_sleeveless_2550,dress_sleeveless_K7PTW174JL,train
dress_sleeveless_2550,dress_sleeveless_MEY44L7WRU,train
dress_sleeveless_2550,dress_sleeveless_VZ9N8XD5V4,train
dress_sleeveless_2550,dress_sleeveless_KAXP5YISK3,train
dress_sleeveless_2550,dress_sleeveless_8567HP4NAS,train
dress_sleeveless_2550,dress_sleeveless_SRJTFRS82O,train
dress_sleeveless_2550,dress_sleeveless_TYHZ5I4TKV,train
dress_sleeveless_2550,dress_sleeveless_3U4PDK7BYF,train
dress_sleeveless_2550,dress_sleeveless_X5H9MMOIN8,train
dress_sleeveless_2550,dress_sleeveless_ZI7AJV9HBV,train
dress_sleeveless_2550,dress_sleeveless_RKEZX9D7SE,train
dress_sleeveless_2550,dress_sleeveless_ZIWQJCUHF5,train
dress_sleeveless_2550,dress_sleeveless_SCHADY5876,train
dress_sleeveless_2550,dress_sleeveless_HJ7MIFJFP2,train
dress_sleeveless_2550,dress_sleeveless_F8EOFJD3AL,train
dress_sleeveless_2550,dress_sleeveless_RP28B9FLNH,train
dress_sleeveless_2550,dress_sleeveless_E6SMXMEFPG,train
dress_sleeveless_2550,dress_sleeveless_UWFHX1TXNI,train
dress_sleeveless_2550,dress_sleeveless_KEF9KEE9BK,train
