baseline,true_category,pred_category,count
nn_render_pair,dress_sleeveless_2550,dress_sleeveless_2550,383
nn_render_pair,jacket_2200,jacket_2200,328
nn_render_pair,jacket_2200,tee_2300,2
nn_render_pair,jacket_hood_2700,jacket_hood_2700,405
nn_render_pair,jumpsuit_sleeveless_2000,jumpsuit_sleeveless_2000,300
nn_render_pair,pants_straight_sides_1000,pants_straight_sides_1000,149
nn_render_pair,pants_straight_sides_1000,wb_pants_straight_1500,1
nn_render_pair,skirt_2_panels_1200,skirt_2_panels_1200,180
nn_render_pair,skirt_4_panels_1600,skirt_4_panels_1600,240
nn_render_pair,skirt_8_panels_1000,pants_straight_sides_1000,1
nn_render_pair,skirt_8_panels_1000,skirt_8_panels_1000,149
nn_render_pair,tee_2300,jacket_2200,2
nn_render_pair,tee_2300,tee_2300,342
nn_render_pair,tee_2300,tee_sleeveless_1800,1
nn_render_pair,tee_sleeveless_1800,tee_sleeveless_1800,270
nn_render_pair,wb_dress_sleeveless_2600,jumpsuit_sleeveless_2000,1
nn_render_pair,wb_dress_sleeveless_2600,wb_dress_sleeveless_2600,389
nn_render_pair,wb_pants_straight_1500,pants_straight_sides_1000,2
nn_render_pair,wb_pants_straight_1500,wb_pants_straight_1500,223
