query_category,query_sample_id,retrieved_category,retrieved_sample_id,rank_true_category,distance,is_error
dress_sleeveless_2550,dress_sleeveless_04I8B5BYZY,dress_sleeveless_2550,dress_sleeveless_66ZKZ6A6W6,1,21.20928192138672,0
jacket_2200,jacket_02534Q1CEV,jacket_2200,jacket_732WSDUDLC,1,24.121109008789062,0
jacket_hood_2700,jacket_hood_0126ZQVBZN,jacket_hood_2700,jacket_hood_TCOBP2SCHS,1,26.399566650390625,0
jumpsuit_sleeveless_2000,jumpsuit_sleeveless_02HQX7NDS4,jumpsuit_sleeveless_2000,jumpsuit_sleeveless_3GBFDLPN19,1,4.4107208251953125,0
pants_straight_sides_1000,pants_straight_sides_0EB7T905KO,pants_straight_sides_1000,pants_straight_sides_BG9IMAG2MI,1,7.2328033447265625,0
skirt_2_panels_1200,skirt_2_panels_0NW4TDXIV3,skirt_2_panels_1200,skirt_2_panels_WCK644I29Z,1,9.237945556640625,0
skirt_4_panels_1600,skirt_4_panels_07ZETVPNC4,skirt_4_panels_1600,skirt_4_panels_9ZO9BB0ITD,1,3.443511962890625,0
skirt_8_panels_1000,skirt_8_panels_01TNMH5098,skirt_8_panels_1000,skirt_8_panels_HD97AXM3X9,1,5.2682952880859375,0
tee_2300,tee_034WP7L9YR,tee_2300,tee_21LEESCO6Z,1,10.8699951171875,0
tee_sleeveless_1800,tee_sleeveless_072U5NLI68,tee_sleeveless_1800,tee_sleeveless_8K0K769NVE,1,6.051025390625,0
wb_dress_sleeveless_2600,wb_dress_sleeveless_00FHHWP41T,wb_dress_sleeveless_2600,wb_dress_sleeveless_V6LB5ZHGQC,1,12.456314086914062,0
wb_pants_straight_1500,wb_pants_straight_03SBNQSKB9,wb_pants_straight_1500,wb_pants_straight_QPOGJ4HP2Q,1,4.392265319824219,0
jacket_2200,jacket_QSFNPS2VMJ,tee_2300,tee_P5XR0HV1CL,2,32.29498291015625,1
jacket_hood_2700,jacket_hood_2K1F659FM1,tee_sleeveless_1800,tee_sleeveless_2DTF703KLR,6,47.81768798828125,1
pants_straight_sides_1000,pants_straight_sides_LERAU7AHVM,skirt_8_panels_1000,skirt_8_panels_C3PS7HTQGY,4,0.0,1
skirt_8_panels_1000,skirt_8_panels_BFC4FIR6VU,pants_straight_sides_1000,pants_straight_sides_REQOZ7LN3V,2,38.396942138671875,1
tee_2300,tee_939AKJUA7S,jacket_2200,jacket_EZRWQU0FL5,3,84.4365234375,1
tee_2300,tee_B6YWQ2K33P,jacket_2200,jacket_66L1ZR492J,10,2252.029052734375,1
tee_2300,tee_F8X1Z8IT8E,jacket_2200,jacket_THD75KN09E,2,34.69293212890625,1
tee_2300,tee_FBKTVNN2NB,jacket_2200,jacket_XV1HL3Y053,2,12.10137939453125,1
wb_dress_sleeveless_2600,wb_dress_sleeveless_DAX6K553SK,jacket_2200,jacket_LXD03DCGZO,2,13420.6240234375,1
