query_category,query_sample_id,retrieved_category,retrieved_sample_id,rank_true_category,distance,is_error
dress_sleeveless_2550,dress_sleeveless_04I8B5BYZY,dress_sleeveless_2550,dress_sleeveless_0NU7ZDAYZE,1,20.973648071289062,0
jacket_2200,jacket_02534Q1CEV,jacket_2200,jacket_785RFZW64K,1,21.473785400390625,0
jacket_hood_2700,jacket_hood_0126ZQVBZN,jacket_hood_2700,jacket_hood_RVHLXY9E1F,1,48.39788818359375,0
jumpsuit_sleeveless_2000,jumpsuit_sleeveless_02HQX7NDS4,jumpsuit_sleeveless_2000,jumpsuit_sleeveless_LXSRKQFSFX,1,11.22332763671875,0
pants_straight_sides_1000,pants_straight_sides_0EB7T905KO,pants_straight_sides_1000,pants_straight_sides_BTPVCOG837,1,16.828521728515625,0
skirt_2_panels_1200,skirt_2_panels_0NW4TDXIV3,skirt_2_panels_1200,skirt_2_panels_4J1GTRB2HF,1,6.77972412109375,0
skirt_4_panels_1600,skirt_4_panels_07ZETVPNC4,skirt_4_panels_1600,skirt_4_panels_YGTNH3QVAL,1,8.051055908203125,0
skirt_8_panels_1000,skirt_8_panels_01TNMH5098,skirt_8_panels_1000,skirt_8_panels_V1QU604N2A,1,7.995574951171875,0
tee_2300,tee_034WP7L9YR,tee_2300,tee_OPETGJC08C,1,16.5970458984375,0
tee_sleeveless_1800,tee_sleeveless_072U5NLI68,tee_sleeveless_1800,tee_sleeveless_JQQHDWI1D0,1,5.63330078125,0
wb_dress_sleeveless_2600,wb_dress_sleeveless_00FHHWP41T,wb_dress_sleeveless_2600,wb_dress_sleeveless_I45252ECJY,1,13.698104858398438,0
wb_pants_straight_1500,wb_pants_straight_03SBNQSKB9,wb_pants_straight_1500,wb_pants_straight_J4AGWE6KIV,1,19.022903442382812,0
jacket_2200,jacket_2DDGHOVGJB,tee_2300,tee_20DMQETRC8,2,24.389312744140625,1
jacket_2200,jacket_H5GQRI9LAZ,tee_2300,tee_45B2PJXK41,2,106.83494567871094,1
jacket_2200,jacket_WXJMP12UN7,tee_2300,tee_559ZWF3ZV1,2,75.84915161132812,1
jacket_2200,jacket_XPRF0PMTED,tee_2300,tee_40R2OUSLAY,2,38.4761962890625,1
jacket_hood_2700,jacket_hood_E4JR1T6XX4,tee_sleeveless_1800,tee_sleeveless_O75QV7PS6U,2,27.692291259765625,1
pants_straight_sides_1000,pants_straight_sides_LERAU7AHVM,skirt_8_panels_1000,skirt_8_panels_IEL30AIXXO,2,0.0,1
tee_2300,tee_B6YWQ2K33P,jacket_2200,jacket_NW2SS3HCJ5,2,516.2392578125,1
tee_2300,tee_IWTVOU90DZ,jacket_hood_2700,jacket_hood_OYSTXKXEJW,2,41.9659423828125,1
wb_dress_sleeveless_2600,wb_dress_sleeveless_WZCMVSEEJR,jacket_2200,jacket_LIKZ6TGUF4,0,1638.83056640625,1
