query_category,query_sample_id,retrieved_category,retrieved_sample_id,rank_true_category,distance,is_error
dress_sleeveless_2550,dress_sleeveless_04I8B5BYZY,dress_sleeveless_2550,dress_sleeveless_CRF7H008BF,1,219.98492431640625,0
jacket_2200,jacket_02534Q1CEV,jacket_2200,jacket_4MSFHBYHSS,1,188.77752685546875,0
jacket_hood_2700,jacket_hood_0126ZQVBZN,jacket_hood_2700,jacket_hood_G8YRB0QPZC,1,343.1771240234375,0
jumpsuit_sleeveless_2000,jumpsuit_sleeveless_02HQX7NDS4,jumpsuit_sleeveless_2000,jumpsuit_sleeveless_GB68QSRWCC,1,115.5408935546875,0
pants_straight_sides_1000,pants_straight_sides_0EB7T905KO,pants_straight_sides_1000,pants_straight_sides_02LK7BEVSJ,1,132.0684814453125,0
skirt_2_panels_1200,skirt_2_panels_0NW4TDXIV3,skirt_2_panels_1200,skirt_2_panels_YI7YROXL40,1,121.3861083984375,0
skirt_4_panels_1600,skirt_4_panels_07ZETVPNC4,skirt_4_panels_1600,skirt_4_panels_9ZO9BB0ITD,1,91.0703125,0
skirt_8_panels_1000,skirt_8_panels_01TNMH5098,skirt_8_panels_1000,skirt_8_panels_9PVP2WR9FX,1,105.247314453125,0
tee_2300,tee_034WP7L9YR,tee_2300,tee_21LEESCO6Z,1,99.7833251953125,0
tee_sleeveless_1800,tee_sleeveless_072U5NLI68,tee_sleeveless_1800,tee_sleeveless_VIJPFL859K,1,138.371337890625,0
wb_dress_sleeveless_2600,wb_dress_sleeveless_00FHHWP41T,wb_dress_sleeveless_2600,wb_dress_sleeveless_7S5EXZ5WBN,1,165.718994140625,0
wb_pants_straight_1500,wb_pants_straight_03SBNQSKB9,wb_pants_straight_1500,wb_pants_straight_Z386J5HJQS,1,145.90756225585938,0
jacket_2200,jacket_JK9GSVZINC,tee_2300,tee_FQIHMSSISY,2,1257.2880859375,1
jacket_2200,jacket_VEXVDV303G,tee_2300,tee_CTDAZJLCA1,2,606.277099609375,1
pants_straight_sides_1000,pants_straight_sides_C6UKBZV4HX,wb_pants_straight_1500,wb_pants_straight_XES8V9MH4Z,2,121.0419921875,1
skirt_8_panels_1000,skirt_8_panels_YS9N6LGVE5,pants_straight_sides_1000,pants_straight_sides_JW8UOZ2Y6D,6,0.0,1
tee_2300,tee_939AKJUA7S,jacket_2200,jacket_EZRWQU0FL5,2,607.904296875,1
tee_2300,tee_F8X1Z8IT8E,jacket_2200,jacket_THD75KN09E,2,328.87939453125,1
tee_2300,tee_WIJIHKE699,tee_sleeveless_1800,tee_sleeveless_8ZJMWY033C,3,219.33712768554688,1
wb_dress_sleeveless_2600,wb_dress_sleeveless_DFP383OTHE,jumpsuit_sleeveless_2000,jumpsuit_sleeveless_1KDYVB0Y6D,3,351.64410400390625,1
wb_pants_straight_1500,wb_pants_straight_C1WHXIH870,pants_straight_sides_1000,pants_straight_sides_5UNDAOS2UD,2,84.17877197265625,1
wb_pants_straight_1500,wb_pants_straight_FKAKCM9C68,pants_straight_sides_1000,pants_straight_sides_5UNDAOS2UD,2,108.96728515625,1
